rp_entry_confirm_bars,rp_exit_confirm_bars,regime_ema_window,regime_min_slope,max_hold_bars,risk_per_trade,return_pct,annual_return,max_drawdown,calmar,net_pnl,closed_trades,total_trades,win_rate
3,3,30,0.002,40,0.003,0.6622784576648969,0.3822542074521196,0.17713514222985524,2.1579806391895766,66227.84576648969,16,32,0.4375
3,3,30,0.002,40,0.005,0.6622784576648969,0.3822542074521196,0.17713514222985524,2.1579806391895766,66227.84576648969,16,32,0.4375
3,3,60,0.002,40,0.003,0.5296125040659844,0.31092560351112386,0.1521930150018862,2.042968946421558,52961.25040659844,13,26,0.5384615384615384
3,3,60,0.002,40,0.005,0.5296125040659844,0.31092560351112386,0.1521930150018862,2.042968946421558,52961.25040659844,13,26,0.5384615384615384
3,3,60,0.003,40,0.003,0.5251033742758632,0.3084626273091706,0.16157567009567436,1.9090908125370583,52510.33742758632,13,26,0.5384615384615384
3,3,60,0.003,40,0.005,0.5251033742758632,0.3084626273091706,0.16157567009567436,1.9090908125370583,52510.33742758632,13,26,0.5384615384615384
3,3,60,0.001,40,0.003,0.48528410648805087,0.28659652246749157,0.15219301500188614,1.8831121944981493,48528.41064880509,14,28,0.5
3,3,60,0.001,40,0.005,0.48528410648805087,0.28659652246749157,0.15219301500188614,1.8831121944981493,48528.41064880509,14,28,0.5
2,3,60,0.001,40,0.003,0.4714324923376262,0.2789403962399022,0.15219301500188603,1.8328068225499405,47143.24923376262,15,30,0.4666666666666667
2,3,60,0.001,40,0.005,0.4714324923376262,0.2789403962399022,0.15219301500188603,1.8328068225499405,47143.24923376262,15,30,0.4666666666666667
2,3,60,0.002,40,0.003,0.4669184112977484,0.27643970744995405,0.15219301500188637,1.8163757873285296,46691.84112977484,14,28,0.42857142857142855
2,3,60,0.002,40,0.005,0.4669184112977484,0.27643970744995405,0.15219301500188637,1.8163757873285296,46691.84112977484,14,28,0.42857142857142855
4,3,30,0.002,40,0.003,0.5060776530506622,0.29804115100499895,0.16559216179587172,1.7998505954188784,50607.76530506622,15,30,0.4
4,3,30,0.002,40,0.005,0.5060776530506622,0.29804115100499895,0.16559216179587172,1.7998505954188784,50607.76530506622,15,30,0.4
2,3,30,0.002,40,0.003,0.5181663263139445,0.3046683059068733,0.177135142229855,1.7199766351926267,51816.63263139446,17,34,0.4117647058823529
2,3,30,0.002,40,0.005,0.5181663263139445,0.3046683059068733,0.177135142229855,1.7199766351926267,51816.63263139446,17,34,0.4117647058823529
2,3,60,0.003,40,0.003,0.462594096812559,0.2740415235909639,0.16157567009567417,1.6960568594807317,46259.4096812559,14,28,0.42857142857142855
2,3,60,0.003,40,0.005,0.462594096812559,0.2740415235909639,0.16157567009567417,1.6960568594807317,46259.4096812559,14,28,0.42857142857142855
3,4,30,0.002,40,0.003,0.6615623161464621,0.38187484424887796,0.2364546741457585,1.6150023070107622,66156.23161464621,13,26,0.46153846153846156
3,4,30,0.002,40,0.005,0.6615623161464621,0.38187484424887796,0.2364546741457585,1.6150023070107622,66156.23161464621,13,26,0.46153846153846156
2,4,30,0.002,40,0.003,0.6593969261485362,0.3807274062680941,0.2364546741457585,1.6101496307634888,65939.69261485361,13,26,0.46153846153846156
2,4,30,0.002,40,0.005,0.6593969261485362,0.3807274062680941,0.2364546741457585,1.6101496307634888,65939.69261485361,13,26,0.46153846153846156
3,3,60,0.002,60,0.003,0.4097795481082081,0.24454056825104176,0.15219301500188617,1.6067791826583573,40977.95481082081,13,26,0.5384615384615384
3,3,60,0.002,60,0.005,0.4097795481082081,0.24454056825104176,0.15219301500188617,1.6067791826583573,40977.95481082081,13,26,0.5384615384615384
3,3,30,0.002,60,0.003,0.47872005316201394,0.28297165525982093,0.1771351422298551,1.5974902083101594,47872.005316201394,16,32,0.4375
3,3,30,0.002,60,0.005,0.47872005316201394,0.28297165525982093,0.1771351422298551,1.5974902083101594,47872.005316201394,16,32,0.4375
2,3,30,0.002,60,0.003,0.47102764723146917,0.27871623589343075,0.17713514222985516,1.5734666333559115,47102.76472314692,16,32,0.4375
2,3,30,0.002,60,0.005,0.47102764723146917,0.27871623589343075,0.17713514222985516,1.5734666333559115,47102.76472314692,16,32,0.4375
3,3,60,0.003,60,0.003,0.40562367272082744,0.24220231671811132,0.16157567009567378,1.499002396677025,40562.367272082745,13,26,0.5384615384615384
3,3,60,0.003,60,0.005,0.40562367272082744,0.24220231671811132,0.16157567009567378,1.499002396677025,40562.367272082745,13,26,0.5384615384615384
4,3,30,0.002,60,0.003,0.41858291038695694,0.24948542325389012,0.16706269761056974,1.49336402932659,41858.291038695694,15,30,0.4
4,3,30,0.002,60,0.005,0.41858291038695694,0.24948542325389012,0.16706269761056974,1.49336402932659,41858.291038695694,15,30,0.4
4,3,60,0.001,40,0.003,0.34533813024954463,0.2079957592849928,0.1403001514931115,1.4825055929836615,34533.81302495446,13,26,0.46153846153846156
4,3,60,0.001,40,0.005,0.34533813024954463,0.2079957592849928,0.1403001514931115,1.4825055929836615,34533.81302495446,13,26,0.46153846153846156
4,4,30,0.002,40,0.003,0.5970432927453468,0.34744912333012157,0.23645467414575855,1.4694111020869156,59704.329274534684,13,26,0.46153846153846156
4,4,30,0.002,40,0.005,0.5970432927453468,0.34744912333012157,0.23645467414575855,1.4694111020869156,59704.329274534684,13,26,0.46153846153846156
2,4,60,0.001,60,0.003,0.5236107504795011,0.3076467444334381,0.21122499070230355,1.4564883795735586,52361.075047950115,11,22,0.5454545454545454
2,4,60,0.001,60,0.005,0.5236107504795011,0.3076467444334381,0.21122499070230355,1.4564883795735586,52361.075047950115,11,22,0.5454545454545454
3,3,60,0.001,60,0.003,0.36892392739403235,0.22144350746744612,0.15219301500188642,1.4550175477153229,36892.392739403236,14,28,0.5
3,3,60,0.001,60,0.005,0.36892392739403235,0.22144350746744612,0.15219301500188642,1.4550175477153229,36892.392739403236,14,28,0.5
3,4,60,0.001,40,0.003,0.5087265830652637,0.29949497312498785,0.21122499070230324,1.4178955441266452,50872.65830652637,11,22,0.5454545454545454
3,4,60,0.001,40,0.005,0.5087265830652637,0.29949497312498785,0.21122499070230324,1.4178955441266452,50872.65830652637,11,22,0.5454545454545454
2,4,30,0.002,60,0.003,0.5658934052094236,0.33064797799522694,0.2364546741457585,1.3983567006647735,56589.34052094235,13,26,0.46153846153846156
2,4,30,0.002,60,0.005,0.5658934052094236,0.33064797799522694,0.2364546741457585,1.3983567006647735,56589.34052094235,13,26,0.46153846153846156
3,4,30,0.002,60,0.003,0.5658934052094236,0.33064797799522694,0.2364546741457585,1.3983567006647735,56589.34052094235,13,26,0.46153846153846156
3,4,30,0.002,60,0.005,0.5658934052094236,0.33064797799522694,0.2364546741457585,1.3983567006647735,56589.34052094235,13,26,0.46153846153846156
4,4,60,0.001,40,0.003,0.4700726139878732,0.2781873508770889,0.2001602157114125,1.389823396664273,47007.26139878732,11,22,0.5454545454545454
4,4,60,0.001,40,0.005,0.4700726139878732,0.2781873508770889,0.2001602157114125,1.389823396664273,47007.26139878732,11,22,0.5454545454545454
2,3,30,0.003,40,0.003,0.4544198734703756,0.2695012089843585,0.1952751002644258,1.380110462723725,45441.98734703756,15,30,0.4
2,3,30,0.003,40,0.005,0.4544198734703756,0.2695012089843585,0.1952751002644258,1.380110462723725,45441.98734703756,15,30,0.4
3,3,30,0.003,40,0.003,0.4544198734703756,0.2695012089843585,0.1952751002644258,1.380110462723725,45441.98734703756,15,30,0.4
3,3,30,0.003,40,0.005,0.4544198734703756,0.2695012089843585,0.1952751002644258,1.380110462723725,45441.98734703756,15,30,0.4
3,4,60,0.001,60,0.003,0.4647589797698444,0.2752424484075253,0.21122499070230363,1.303077100358104,46475.897976984445,11,22,0.5454545454545454
3,4,60,0.001,60,0.005,0.4647589797698444,0.2752424484075253,0.21122499070230363,1.303077100358104,46475.897976984445,11,22,0.5454545454545454
2,3,60,0.001,60,0.003,0.3561574768808161,0.214175086086122,0.1646015245273833,1.3011731616768325,35615.74768808161,15,30,0.4666666666666667
2,3,60,0.001,60,0.005,0.3561574768808161,0.214175086086122,0.1646015245273833,1.3011731616768325,35615.74768808161,15,30,0.4666666666666667
2,4,60,0.001,40,0.003,0.4601400089337793,0.2726793876244542,0.21122499070230363,1.2909428317067047,46014.00089337793,12,24,0.5
2,4,60,0.001,40,0.005,0.4601400089337793,0.2726793876244542,0.21122499070230363,1.2909428317067047,46014.00089337793,12,24,0.5
